county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Reagan,48383,487,188,298,66,155,21,236,1,36,29.7,0,0,0,0,0,0,0,0,0.386,0.1355,445,133,0.0944,0.1654,73.0,0.5212,,,,12150.27,11357.62,2867463.0,0.1059,190.678,1228.8136,47110.62,0.2683,601.6949,0.2881,0.8263,6055.0847,,,,,,,0.0,0.0,,,,,,,,0.8263,8597.4576,0.1568,957.6271,0.6653,0.6822,0.5508,2076.2712,0.0636,122.8814,4990.53,3283.46,,,,0.0,,,679.11,395.73,215.4,129.13,434.4,,326.64,89.6,273.07,2057.75,8759.32,0,,0.0,191.61,,,0.825,7
Oldham,48359,455,151,304,36,182,31,249,0,0,0,0,0,0,0,0,0,0,0,0.3319,0.0791,443,165,0.0271,0.103,74.0,0.5622,,,,11489.39,11662.02,2860858.0,0.1727,212.8514,1056.2249,15986.62,,377.51,0.2249,0.5703,2867.4699,,,,,,,0.0,0.0,0.0843,253.012,1915.6627,4751.56,,,,0.8795,15658.6345,0.3052,1907.6305,0.8434,0.7952,0.0843,297.1888,0.0643,92.3695,2760.74,1996.08,545.22,,,0.0,400.73,,1085.23,585.17,531.05,469.63,215.14,,44.12,84.49,1418.81,4164.71,5971.7,0,,0.0,0.0,,,,8
Briscoe,48045,424,157,267,40,178,40,243,0,0,0,0,0,0,0,0,0,0,0,0.3703,0.0943,399,168,0.0627,0.0595,76.0,0.5309,,,,17663.0,17160.65,4292109.0,0.1605,230.4527,991.7695,23442.94,,613.1687,0.321,0.8066,6078.1893,0.0494,61.7284,1370.3704,33348.65,,,0.0,0.0,0.1276,720.1646,6197.5309,8831.92,0.07,69.9588,8263.3745,0.8272,10633.7449,0.2387,1374.4856,0.7284,0.7572,0.7366,3246.9136,0.1523,259.2593,3762.45,3891.23,283.48,1646.85,,0.0,1126.71,1347.06,753.65,434.23,326.87,321.02,407.51,,367.8,285.97,2190.14,5493.7,8657.36,1646.85,1347.06,0.0,0.0,,,,8
Cottle,48101,409,188,221,53,152,25,196,0,0,0,0,0,0,0,0,0,0,0,0.4597,0.1296,414,143,-0.0121,0.0629,73.0,0.5153,,,,9989.63,9831.22,1957967.0,0.1122,163.2653,780.6122,18206.05,,556.1224,0.2959,0.6378,3846.9388,,,,,,,0.0,0.0,0.0816,270.4082,2357.1429,6064.44,,,,0.7653,9091.8367,0.1735,1142.8571,0.6173,0.6327,0.7194,3571.4286,0.1224,224.4898,2043.54,1875.73,220.68,,,0.0,495.06,,582.6,395.51,222.03,165.17,230.38,0.0,497.7,227.26,634.38,2827.32,4762.72,0,,0.0,0.0,,,,7
Stonewall,48433,402,106,296,59,168,39,274,1,53,48.4,0,0,0,0,0,0,0,0,0.2637,0.1468,358,147,0.1229,0.1429,75.0,0.5584,,,,23046.4,21969.64,6314713.0,0.2226,364.9635,1616.7883,24004.47,0.1684,905.1095,0.4234,0.8759,11394.1606,0.0803,109.4891,1686.1314,77466.85,,,,,0.062,284.6715,2346.7153,7478.52,,,,0.8686,11562.0438,0.1971,1423.3577,0.635,0.7956,0.7847,4554.7445,0.1752,357.6642,5344.06,5616.44,352.05,6219.97,,,464.0,,919.34,693.68,179.89,214.21,278.83,0.0,1045.07,343.77,441.48,3542.82,12350.0,6219.97,,0.0,288.1,,,0.9132,7
Irion,48235,396,151,245,30,138,24,193,0,0,0,0,0,0,0,0,0,0,0,0.3813,0.0758,358,127,0.1061,0.0866,73.0,0.5233,,,,18078.14,18394.12,3489081.0,0.1658,269.4301,1393.7824,27271.99,,580.3109,0.2642,0.8394,6471.5026,,,,,,,,,0.0829,476.6839,2808.2902,8179.23,0.0622,62.1762,7305.6995,0.9016,13917.0984,0.2591,1367.8756,0.8446,0.8031,0.0725,259.0674,0.1088,207.2539,4521.78,5139.18,,,,,678.07,1157.23,1253.78,638.94,283.1,218.3,312.43,,45.72,170.8,494.63,3286.03,10470.7,0,1157.23,0.0,0.0,,,,6
Throckmorton,48447,388,125,263,38,161,43,261,0,0,0,0,0,0,0,0,0,0,0,0.3222,0.0979,401,185,-0.0324,-0.1297,75.0,0.5441,,,,16843.2,16243.59,4396074.0,0.1379,191.5709,827.5862,23339.56,,570.8812,0.3027,0.8391,7938.6973,0.0575,72.7969,1819.9234,63580.05,,,0.0,0.0,0.1073,628.3525,3766.2835,8830.22,0.0536,57.4713,6567.0498,0.8199,8164.751,0.1992,1157.0881,0.6054,0.7088,0.728,2969.3487,0.1341,252.8736,3219.25,4577.17,88.88,3654.03,,0.0,947.3,1097.1,627.49,348.91,225.16,174.98,230.2,0.0,586.34,321.74,421.0,3212.47,8555.95,3654.03,1097.1,0.0,0.0,,,,7
Sherman,48421,384,114,270,28,162,30,256,1,26,19.9,0,0,0,0,0,0,0,0,0.2969,0.0729,388,157,-0.0103,0.0318,74.0,0.5273,,,,10743.76,10914.96,2750401.0,0.1563,214.8438,1093.75,18317.89,,617.1875,0.3047,0.6289,3476.5625,,,,,,,0.0,0.0,0.0781,277.3438,1644.5313,5383.24,,,,0.8594,12371.0938,0.2422,1406.25,0.8086,0.707,0.5313,2480.4688,0.1094,214.8438,2862.17,1709.28,568.4,,,0.0,420.57,,854.92,397.19,318.83,271.17,370.12,0.0,245.77,275.45,718.59,3199.97,5812.49,0,,0.0,122.84,,,0.7654,7
Foard,48155,364,131,233,57,150,24,207,1,67,43.3,0,0,0,0,0,0,0,0,0.3599,0.1566,344,135,0.0581,0.1111,74.0,0.5072,,,,19239.33,18490.37,3982541.0,0.1836,265.7005,1019.3237,25395.18,,768.1159,0.3527,0.7488,5719.8068,0.0918,111.1111,4381.6425,29470.59,,,,,0.1787,1106.2802,6710.1449,9013.49,0.0773,77.2947,7342.9952,0.8164,15053.1401,0.256,1937.1981,0.6329,0.7053,0.599,2198.0676,0.1594,323.6715,4661.92,2299.75,440.63,2705.03,,,1611.11,1253.52,1060.65,593.51,296.14,271.41,443.98,,251.28,502.53,1411.77,5346.34,8498.34,2705.03,1253.52,0.0,288.67,,,0.6463,6
Motley,48345,357,121,236,50,151,28,218,1,50,24.6,0,0,0,0,0,0,0,0,0.3389,0.1401,361,154,-0.0111,-0.0195,75.0,0.555,,,,18342.75,17898.77,3998719.0,0.1514,238.5321,1233.945,24261.7,,472.4771,0.2569,0.6376,3119.2661,0.055,91.7431,5178.8991,36238.58,,,0.0,0.0,0.0642,197.2477,1270.6422,5633.09,0.0642,68.8073,4467.8899,0.8899,12229.3578,0.2752,1454.1284,0.7202,0.7202,0.3394,1146.789,0.1468,316.5138,3672.64,2003.69,151.16,1994.78,,0.0,361.76,739.19,837.82,508.02,201.04,191.96,492.35,,159.97,435.11,5194.57,7439.47,6770.62,1994.78,739.19,0.0,162.91,,,0.492,6
Sterling,48431,253,78,175,28,77,0,156,1,44,22.0,0,0,0,0,0,0,0,0,0.3083,0.1107,239,71,0.0586,0.0845,74.0,0.5128,,,,18481.14,19112.57,2883058.0,0.1923,256.4103,1237.1795,16188.14,,634.6154,0.3205,0.8718,5403.8462,,,,,,,0.0,0.0,0.1154,679.4872,3628.2051,8138.53,,,,0.9423,15480.7692,0.2756,1589.7436,0.8846,0.7821,,,0.1603,358.9744,3113.1,4418.07,,,,0.0,939.06,,1195.35,477.91,188.28,243.88,1542.25,,,262.06,252.24,4361.06,8271.14,0,,0.0,285.71,,,0.5,3
Terrell,48443,239,118,121,27,93,17,107,0,0,0,0,0,0,0,0,0,0,0,0.4937,0.113,246,88,-0.0285,0.0568,75.0,0.486,,,,9179.23,8255.75,982177.0,0.1308,140.1869,663.5514,21734.0,0.0,401.8692,0.2523,0.6449,3336.4486,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.7009,5626.1682,,,0.5514,0.6355,0.7009,3168.2243,0.1589,299.0654,2843.7,1543.4,,,0.0,0.0,,,458.91,365.46,150.7,129.58,,0.0,474.81,833.39,258.59,1472.59,5585.95,0,,0.0,0.0,,,,4
Kent,48263,223,96,127,30,95,16,111,1,60,51.1,0,0,0,0,0,0,0,0,0.4305,0.1345,205,76,0.0878,0.25,76.0,0.5676,,,,12839.07,12275.78,1425136.0,0.1081,135.1351,369.3694,20261.29,0.0,297.2973,0.2523,0.7748,6378.3784,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.8288,8090.0901,0.1982,954.955,0.6577,0.7117,0.6667,3333.3333,0.1171,117.1171,2190.41,4034.42,,,0.0,0.0,,,610.19,379.83,222.33,180.25,328.34,,711.59,144.26,1389.37,3442.07,6748.92,0,,0.0,537.89,,,0.8517,4
