county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Audrain,29007,5806,2375,3432,897,2258,616,3205,2,214,141.7,125,28,97,5,1,5,0,0,0.4091,0.1545,5583,2140,0.0399,0.0551,74.0,0.5463,,,,11134.31,11239.92,35685455.0,0.1466,229.9532,1161.9345,20984.5,0.1617,494.8518,0.264,0.7691,5546.3339,0.0434,58.0343,1429.3292,14868.39,0.0122,14.6646,,,0.0493,100.468,770.3588,3561.55,0.0287,29.3292,1902.6521,0.8864,12053.6661,0.2849,2212.1685,0.7345,0.7373,0.2749,978.7832,0.1211,193.4477,3077.29,2345.15,213.11,644.84,312.38,,175.58,321.55,793.64,420.44,239.67,178.66,515.45,148.38,116.83,145.02,1244.69,3264.52,6349.39,957.22,321.55,55.36,62.75,18.1,0.224,0.6621,-6
Miller,29131,5772,3099,2673,916,2201,508,2424,4,305,230.7,175,12,163,4,1,4,0,0,0.5369,0.1587,5579,1934,0.0346,0.1381,73.0,0.533,,,,10882.0,10710.47,26377979.0,0.1349,199.2574,954.2079,21906.43,0.1818,624.1749,0.3205,0.8193,7882.0132,0.0363,46.6172,995.0495,12710.38,0.0087,9.901,,,0.0606,137.3762,995.0495,3917.84,0.0347,37.1287,2752.4752,0.8721,10268.1518,0.276,1990.099,0.6555,0.7578,0.4472,1449.2574,0.1291,234.3234,2955.2,3262.14,198.95,461.43,192.57,,237.59,455.32,668.22,437.78,209.73,229.86,417.15,132.87,151.28,150.01,597.7,2511.53,7136.95,654.0,455.32,79.51,104.82,12.6,0.0686,0.7564,-59
Randolph,29175,5652,2329,3323,1022,2074,541,3009,3,380,312.3,212,16,196,5,1,5,0,0,0.4121,0.1808,5382,1895,0.0502,0.0945,73.0,0.543,0.9505,0.0213,0.0063,13039.01,13001.49,39234381.0,0.1552,244.9319,1334.995,25608.71,0.1622,700.2326,0.328,0.7767,6140.9106,0.0415,57.4942,1411.7647,15739.44,0.0113,12.2964,,,0.0651,188.1024,1360.2526,4464.4,0.0352,36.557,2327.3513,0.8897,12876.0386,0.3021,2411.4324,0.7537,0.7644,0.3775,1598.2054,0.1313,264.8721,3974.5,2422.76,169.46,653.85,288.76,,290.8,393.75,925.12,488.11,327.16,178.92,693.21,195.39,280.91,153.11,1380.29,4076.41,7403.33,942.61,393.75,102.22,150.58,9.8,0.0755,0.8218,-102
Washington,29221,5625,3642,1983,1276,1800,392,1835,2,210,142.5,80,0,80,2,0,2,0,0,0.6475,0.2268,5510,1579,0.0209,0.14,71.0,0.5177,,,,11401.06,11916.97,20920938.0,0.1591,239.782,1130.2452,19951.96,0.1682,766.2125,0.3569,0.7548,5790.7357,0.0398,51.7711,1027.248,17333.71,0.0142,16.8937,,,0.0736,200.545,1485.5586,4440.98,0.0349,35.9673,2257.7657,0.8343,10276.8392,0.2425,1908.9918,0.7455,0.7635,0.5755,2658.3106,0.1766,416.3488,3174.92,2793.37,149.06,689.57,400.75,,326.72,383.08,749.33,445.29,329.03,188.84,360.0,108.73,304.46,226.86,606.99,2865.37,6898.23,1090.32,383.08,44.44,79.17,22.5,0.0,0.6786,15
Wright,29229,5339,3414,1925,1070,1945,487,1655,3,243,161.6,40,0,40,1,0,1,0,0,0.6394,0.2004,4934,1724,0.0821,0.1282,72.0,0.5215,,,,10202.06,10467.9,16884407.0,0.1378,203.6254,1053.7764,21720.35,0.1858,474.9245,0.2683,0.6767,4181.2689,0.032,50.1511,1462.2356,20723.22,0.0133,16.3142,,,0.0562,143.8066,1048.9426,4010.52,0.0375,37.4622,3611.4804,0.7934,8201.8127,0.2647,1993.3535,0.7269,0.6725,0.5958,2364.3505,0.0236,59.8187,2992.29,2437.51,57.22,663.64,310.63,,225.36,585.39,578.24,351.7,284.7,119.45,406.04,,270.64,41.32,527.26,2411.69,5880.04,974.27,585.39,20.57,83.08,48.6,0.0,0.665,63
Clinton,29049,5215,2201,3015,554,2043,504,2598,4,332,265.7,88,0,88,3,0,3,0,0,0.4221,0.1062,4568,1673,0.1416,0.2212,73.0,0.5408,0.9627,0.0081,0.0062,12191.16,12065.77,31672641.0,0.1432,251.3472,1123.5566,23043.02,0.2275,560.4311,0.296,0.7498,6757.5058,0.035,51.1932,1488.0677,20425.8,0.0173,21.94,,,0.0697,163.2025,1366.0508,4577.46,0.0373,39.6459,3164.3572,0.8853,12357.1978,0.2664,2093.9184,0.7444,0.7487,0.2525,772.5173,0.1197,243.264,3299.46,2950.72,239.41,715.45,526.69,,318.91,569.28,834.63,449.8,250.94,166.35,375.08,165.06,84.61,127.52,772.36,2802.88,7231.97,1242.14,569.28,43.07,130.05,23.2,0.0,0.8003,20
Ray,29177,5170,2639,2531,588,1968,477,2232,2,257,137.8,55,13,42,1,1,1,0,0,0.5104,0.1137,5068,1835,0.0201,0.0725,73.0,0.5466,,,,15214.82,14917.04,33959469.0,0.1613,267.4731,1256.7204,22649.91,0.2209,713.2616,0.3463,0.7361,7575.7168,0.0475,68.1004,1353.0466,42187.9,0.0166,20.1613,0.0,0.0,0.0654,163.0824,1428.3154,4615.35,0.0399,42.1147,3560.9319,0.8427,10751.7921,0.2764,2279.1219,0.7599,0.7406,0.3297,1196.6846,0.1259,258.0645,3653.21,4419.42,244.34,2003.55,415.42,0.0,301.9,633.72,746.79,453.67,274.61,176.61,480.19,176.55,129.93,136.29,799.41,2909.44,9083.48,2418.97,633.72,27.95,70.02,35.8,0.2364,0.5362,49
Adair,29001,5060,1365,3695,899,1999,535,3363,2,239,122.0,127,14,113,3,1,3,0,0,0.2698,0.1777,4772,1787,0.0604,0.1186,73.0,0.545,,,,12806.19,12003.75,43067200.0,0.1368,211.121,1119.5361,29996.84,0.1774,624.1451,0.2991,0.7026,3626.8213,0.0497,65.1204,1942.6108,18226.69,0.0071,7.7312,,,0.0595,158.4894,1104.6685,4332.21,0.0181,19.0306,877.7877,0.8927,11943.8002,0.2828,2323.2233,0.8195,0.7169,0.4255,1837.0503,0.1359,259.2923,4103.05,2217.15,169.46,905.1,176.38,,257.64,155.91,815.91,419.49,340.93,166.82,535.55,133.83,283.53,199.99,1651.21,4051.59,7242.97,1081.48,155.91,63.53,61.03,15.7,0.1102,0.5105,-21
Saline,29195,5024,2238,2786,850,1990,502,2530,2,191,109.0,157,14,143,6,1,6,0,0,0.4455,0.1692,4925,1811,0.0201,0.0988,73.0,0.5403,0.9379,0.0166,0.0217,11707.75,11392.13,29620598.0,0.1601,268.7747,1467.5889,23316.03,0.2091,725.2964,0.3356,0.8435,7847.4308,0.0391,50.5929,1000.0,11850.09,0.0087,9.4862,,,0.0427,72.332,650.9881,3250.57,0.0285,30.83,1852.1739,0.8688,9939.1304,0.2466,1829.249,0.6735,0.7518,0.6964,2891.6996,0.1364,303.5573,3732.41,3271.04,179.1,463.7,265.13,,138.76,307.79,654.95,410.66,232.38,144.66,375.83,156.69,347.06,201.83,631.1,2524.74,7951.73,728.83,307.79,78.89,54.77,12.7,0.0892,0.5707,-52
Dallas,29059,4713,3223,1489,872,1685,393,1285,2,194,151.9,54,0,54,3,0,3,0,0,0.6839,0.185,4479,1544,0.0522,0.0913,71.0,0.5136,,,,13663.68,13762.45,17557832.0,0.151,242.8016,1231.1284,23354.47,0.183,569.6498,0.2934,0.8031,7855.2529,0.0405,52.1401,1298.0545,14088.27,0.0163,17.1206,,,0.0646,156.4202,1235.0195,3880.21,0.042,45.9144,3418.677,0.8265,9571.9844,0.3012,2110.5058,0.7128,0.7121,0.642,3809.3385,0.0125,21.0117,3525.89,4190.14,47.4,570.11,349.49,,250.63,565.84,679.95,426.81,280.01,150.22,414.26,,482.09,20.45,1257.26,3514.42,8210.69,919.6,565.84,32.05,90.15,31.2,0.0,0.783,35
