county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,nh_fac,nh_bed,nh_res,sl_bed,mc_bed,alf_bed,alf_fac,mc_fac,sl_fac,pch_bed,pch_fac,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Bladen,37017,8186,5333,2854,1998,3009,655,2618,2,184,151.7,149,26,123,7,1,7,0,0,0.6515,0.2441,8041,2540,0.018,0.1846,72.0,0.5145,0.7483,0.2116,0.0073,13708.8,13218.2,35889626.0,0.1597,254.0107,1574.8663,26441.39,0.1741,710.466,0.3151,0.699,4499.618,0.0424,58.8235,1532.0856,25023.52,0.0053,5.3476,,,0.0985,363.6364,2207.4102,5911.72,0.0443,48.8923,5243.6975,0.885,13729.1826,0.246,1593.9649,0.8319,0.7659,0.5111,2142.4752,0.1837,586.3254,4221.73,2450.98,117.46,1060.97,107.62,,582.59,880.22,1002.32,474.75,412.12,207.92,402.76,254.32,431.19,322.23,648.07,3686.97,7841.47,1168.59,880.22,49.52,50.42,20.2,0.1745,0.8245,-19
Hoke,37093,8179,4787,3392,1901,2404,523,2954,1,132,123.6,165,54,111,2,2,2,0,0,0.5853,0.2324,7390,1914,0.1068,0.256,69.0,0.4915,0.5511,0.3186,0.0623,10501.56,10325.23,31021605.0,0.1303,203.7915,1110.6974,24699.44,0.1996,670.6161,0.3192,0.6307,3559.5802,0.0234,29.4516,671.6317,14700.14,0.0047,5.4164,,,0.0653,200.4062,1161.476,4901.02,0.0257,26.7434,1970.2099,0.8761,14488.1517,0.2458,1556.195,0.7779,0.7305,0.0768,261.3406,0.1266,264.3873,3219.12,2291.52,157.71,343.37,137.44,,320.21,343.39,1060.92,453.74,353.8,228.78,419.3,330.78,30.18,122.27,494.69,2907.88,6575.14,480.81,343.39,68.64,51.41,14.6,0.3273,0.9364,-61
Polk,37149,7237,3018,4219,705,3395,894,3967,3,185,155.8,72,24,48,2,1,2,0,0,0.417,0.0974,6578,2783,0.1002,0.2199,75.0,0.5659,0.9352,0.0187,0.0129,10468.11,10802.47,41526985.0,0.1334,185.7827,860.3479,19850.11,0.151,581.5478,0.3045,0.7603,5214.5198,0.0363,45.6264,1037.8119,17721.57,0.0076,8.3186,,,0.0774,192.8409,1355.6844,4148.81,0.0368,37.8119,2396.2692,0.905,11716.1583,0.2367,1494.8324,0.7996,0.7807,0.3093,1026.9725,0.1351,252.5838,2647.01,2151.96,201.44,643.28,197.5,,321.07,442.53,841.62,434.44,292.31,153.51,335.04,111.55,208.93,123.34,900.03,3052.51,5669.74,840.78,442.53,21.21,45.89,47.2,0.3333,0.8422,75
Currituck,37053,7061,2285,4777,624,2464,460,4218,1,100,79.5,90,48,42,1,1,1,0,0,0.3236,0.0884,5557,1784,0.2706,0.3812,72.0,0.5213,0.9123,0.0429,0.0119,10979.27,10742.9,46310579.0,0.1406,215.2679,1148.6486,22884.44,0.1729,572.0721,0.2826,0.6901,4202.2285,0.0299,40.0664,894.4998,15764.61,,,,,0.0704,155.761,1136.3205,4031.5,0.0251,26.3158,2176.1498,0.9381,14583.689,0.2798,1674.4903,0.8822,0.7795,0.0055,16.5955,0.137,358.2266,3217.28,1797.41,183.33,470.92,,,283.87,373.22,1069.13,525.59,411.29,193.88,682.77,98.49,2.47,204.64,1289.83,3933.24,6026.74,470.92,373.22,36.53,32.26,27.4,0.5333,0.795,17
Martin,37117,6710,3910,2800,1560,2597,619,2701,1,154,119.2,194,50,144,4,1,4,0,0,0.5827,0.2325,6396,2233,0.0491,0.163,74.0,0.5354,0.7079,0.261,0.0074,12282.7,11743.04,33175580.0,0.1437,227.6934,1166.605,24712.71,0.1958,679.0078,0.3169,0.565,2796.0015,0.0374,51.8327,1466.4939,19708.93,0.0089,9.6261,,,0.0718,249.167,1806.368,5761.74,0.03,31.8401,2576.8234,0.8982,13189.9297,0.2692,1702.7027,0.8471,0.7575,0.2418,754.5354,0.1566,871.1588,3549.99,2600.75,120.73,736.99,214.54,,413.84,419.08,943.33,458.69,405.18,262.21,550.06,209.62,124.49,289.85,868.52,3567.63,7229.63,951.53,419.08,74.7,45.9,13.4,0.2577,0.774,-82
Montgomery,37123,6560,4127,2433,1344,2518,550,2256,1,141,100.1,186,136,50,3,2,3,0,0,0.6291,0.2049,6233,2085,0.0525,0.2077,73.0,0.5293,0.8732,0.0904,0.0155,10951.07,10989.6,24705622.0,0.1321,203.9007,1060.727,21566.72,0.1847,574.0248,0.2859,0.6383,3892.7305,0.0368,46.9858,1000.4433,16743.0,,,,,0.0678,187.9433,1518.1738,4782.13,0.0363,37.6773,3680.8511,0.8914,13446.3652,0.2411,1715.8688,0.7881,0.7531,0.1999,633.8652,0.0457,81.117,2848.8,2564.35,143.73,615.99,,,324.32,611.39,988.46,456.13,300.2,198.85,642.91,183.27,84.26,39.46,674.05,3213.05,6235.74,615.99,611.39,73.87,39.75,13.5,0.7312,0.7099,-77
Madison,37115,6374,3536,2838,1114,2538,545,2557,2,180,153.9,81,0,81,3,0,3,0,0,0.5548,0.1748,5845,2003,0.0905,0.2671,73.0,0.5397,,,,11296.14,11418.6,28884232.0,0.149,229.957,1071.5682,20348.3,0.1586,447.7904,0.2456,0.5616,2611.6543,0.045,69.2217,1614.0008,19193.82,0.009,10.9503,,,0.0806,205.3187,1576.4568,4206.99,0.0305,31.2867,2534.6109,0.8612,12035.1975,0.2479,1626.1244,0.8189,0.7157,0.4106,1915.526,0.1498,296.4411,3031.95,1657.25,208.98,863.23,230.9,,338.93,451.78,881.72,410.36,306.89,190.23,471.08,,275.1,143.97,1319.22,3783.17,5452.51,1094.13,451.78,31.91,60.64,31.3,0.0,0.855,29
Yancey,37199,5815,3102,2713,937,2502,605,2544,1,140,101.1,70,40,30,1,1,1,0,0,0.5334,0.1611,5615,2101,0.0356,0.1909,73.0,0.5405,0.9568,0.0047,0.0098,10303.52,10774.94,26212165.0,0.1392,204.0094,945.3616,18277.69,0.1595,286.9497,0.1804,0.5523,2011.3994,0.044,58.1761,1672.1698,19095.12,0.0106,11.0063,,,0.0865,205.9748,1422.5629,3877.19,0.0507,54.6384,6261.0063,0.8498,11029.0881,0.2465,1781.4465,0.7748,0.7323,0.5086,2123.0346,0.1368,264.1509,2543.36,1016.11,154.06,840.67,274.94,,335.29,1016.45,814.86,351.13,316.67,161.15,463.86,,411.33,148.5,1064.4,3567.56,4213.16,1115.61,1016.45,27.98,40.41,35.7,0.5714,0.7221,38
Hertford,37091,5736,3261,2475,1694,2111,553,2313,1,151,120.2,190,114,76,10,2,10,0,0,0.5685,0.2953,5363,1798,0.0696,0.1741,73.0,0.5387,0.5573,0.4215,0.0048,13246.78,12961.55,30639809.0,0.1595,260.2681,1670.5577,25978.81,0.1975,773.022,0.348,0.7177,4419.3688,0.0514,69.6066,2173.3679,19423.84,,,,,0.0757,258.971,1546.9088,5141.33,0.0363,37.6135,2805.8798,0.8841,13323.3895,0.243,1557.7173,0.8772,0.7281,0.5495,2104.626,0.1509,936.0138,4144.48,2492.51,108.16,999.32,,,388.99,476.04,918.13,392.94,308.68,201.06,565.05,315.16,310.39,302.24,909.85,3602.15,7755.49,999.32,476.04,90.0,56.94,11.1,0.6,0.796,-99
Anson,37007,5733,3691,2043,1506,2076,491,1800,2,161,129.2,60,0,60,1,0,1,0,0,0.6438,0.2627,5548,1780,0.0333,0.1663,72.0,0.5433,,,,12094.47,11683.54,21770053.0,0.1717,250.0,1317.7778,22197.04,0.15,855.0,0.3989,0.7228,5061.6667,0.0506,65.0,1506.6667,16048.79,,,,,0.09,247.7778,1856.6667,5016.52,0.0356,37.7778,3578.8889,0.8961,14739.4444,0.26,1820.0,0.7483,0.7344,0.0383,141.1111,0.1333,275.0,3810.49,2261.25,120.47,811.36,,,451.49,676.24,1082.46,426.93,258.0,169.84,335.46,473.63,18.49,111.09,643.71,2959.45,7203.86,811.36,676.24,28.9,62.24,34.6,0.0,0.8025,30
