county,fips,enroll,ma,om,dual,a75,a85,ffs_benes,alf_fac,alf_bed,mc_fac,mc_bed,nh_fac,nh_bed,nh_res,ma_pct,dual_pct,enroll_p,a75_p,g5_enroll,g5_a75,avg_age,feml_pct,wht_pct,blk_pct,hsp_pct,pc,pc_std,tot_amt,ip_pct,ip_stays,ip_days,ip_per_user,readmit,er,er_pct,op_pct,op_visits,snf_pct,snf_stays,snf_days,snf_per_user,irf_pct,irf_stays,ltch_pct,ltch_stays,hh_pct,hh_eps,hh_visits,hh_per_user,hospc_pct,hospc_stays,hospc_days,em_pct,em_events,dme_pct,dme_events,tests_pct,imgng_pct,fqhc_pct,fqhc_visits,amblnc_pct,amblnc_events,pc_ip,pc_op,pc_asc,pc_snf,pc_irf,pc_ltch,pc_hh,pc_hospc,pc_em,pc_prcdrs,pc_tests,pc_imgng,pc_dme,pc_op_dlys,pc_fqhc_rhc,pc_amblnc,pc_trtmnts,home_pc,acute_pc,inst_pc,eol_pc,sl_bed,sl_fac,sl_per1k,nh_per1k,per_bed,mc_share,nh_occ,bed_gap
Etowah,01055,26772,17254,9518,6042,9606,2107,8208,7,208,2,63,6,848,633.3,0.6445,0.2257,26233,8152,0.0205,0.1784,72.0,0.5459,0.8862,0.0856,0.0085,13897.38,15379.81,114069730.0,0.194,323.3431,1744.883,19323.43,0.1863,631.8226,0.3182,0.6531,3069.5663,0.0374,50.5604,1312.7437,14537.16,0.0328,35.6969,0.0023,2.4366,0.1435,600.0244,4110.0146,5940.05,0.0558,61.2817,6045.809,0.9041,16850.7554,0.285,1907.4074,0.8242,0.7608,0.0854,1072.9776,0.1544,470.5166,3747.92,1866.42,173.3,543.73,735.23,96.23,852.51,965.75,1213.82,467.88,457.86,291.89,556.87,181.72,244.66,178.23,1173.74,4791.35,6615.47,1375.19,965.75,271,9,28.21,65.93,35.4,0.2325,0.7468,-24
Houston,01069,26150,15614,10536,5824,9918,2380,8897,6,206,2,32,3,501,467.4,0.5971,0.2227,24392,8414,0.0721,0.1787,73.0,0.5579,0.8534,0.1142,0.0108,13378.88,14348.8,119031920.0,0.174,261.7736,1392.9414,20579.58,0.167,582.1063,0.305,0.6427,3385.186,0.0371,49.6797,1274.025,15051.79,0.0271,32.4829,0.0028,2.9223,0.1184,373.3843,2941.6657,4511.37,0.0468,49.5673,5240.7553,0.9196,16639.3166,0.3032,1822.8616,0.872,0.7898,0.0355,139.9348,0.1434,432.9549,3580.67,1815.34,249.71,558.29,661.72,116.69,533.94,800.41,1218.03,528.43,415.98,228.05,680.53,124.03,22.04,145.5,1576.8,4675.37,6443.68,1336.7,800.41,238,8,24.0,47.13,41.7,0.1345,0.9329,17
Lauderdale,01077,23596,12617,10979,4186,9266,2213,9935,5,209,3,48,5,612,560.8,0.5347,0.1774,22441,8001,0.0515,0.1581,73.0,0.5534,0.9241,0.0496,0.0059,11722.02,12634.47,116458229.0,0.1676,265.5259,1467.841,19927.96,0.1823,544.8415,0.2915,0.6257,2546.4519,0.0412,56.769,1426.9753,13632.62,0.0175,20.1309,,,0.1139,470.5586,3322.3956,5823.15,0.0415,44.5898,4268.5455,0.94,15828.6865,0.2951,1809.4615,0.8432,0.7775,0.0457,256.467,0.1255,309.3105,3339.71,1503.8,87.99,561.22,365.89,,663.49,672.81,1076.62,477.88,383.98,256.69,381.35,140.42,57.83,135.89,1458.06,4278.02,5685.69,927.11,672.81,257,8,27.74,60.52,36.1,0.1868,0.9163,-19
Marshall,01095,22311,12309,10002,4396,8428,1931,8622,5,172,2,54,5,550,524.9,0.5517,0.197,20870,7203,0.069,0.1701,73.0,0.5514,0.9512,0.0077,0.0186,11580.25,12675.67,99844941.0,0.1469,213.9875,1272.3266,17997.08,0.1441,585.9429,0.3132,0.7505,4975.7597,0.0434,56.7154,1399.0953,13213.86,0.0097,11.0183,,,0.1087,487.9378,3334.0292,6208.26,0.0506,54.2797,4881.466,0.9019,13955.2308,0.2717,1827.1863,0.8087,0.7759,0.2083,1145.9058,0.1611,385.8733,2644.66,2157.6,117.45,573.18,232.84,,674.69,785.95,959.99,471.01,346.29,262.48,446.67,174.63,181.61,188.7,1198.45,4070.18,5754.05,806.02,785.95,226,7,26.82,62.28,37.3,0.2389,0.9544,-9
Limestone,01083,21856,11102,10755,2944,8341,1883,9087,4,151,3,66,2,319,283.3,0.508,0.1347,18641,6399,0.1725,0.3035,73.0,0.5445,0.8831,0.0745,0.0122,12054.05,12862.35,109535125.0,0.1465,218.9942,1184.6594,19366.59,0.1596,569.0547,0.3092,0.8285,5059.8657,0.041,52.7127,1463.9595,15671.28,0.0094,9.6842,0.0024,2.5311,0.0908,312.9746,1983.6029,5504.48,0.0351,37.5261,3656.1021,0.9362,15750.3026,0.296,1793.6613,0.8174,0.7995,0.0769,313.7449,0.1402,369.6489,2836.68,1890.49,137.46,643.27,215.59,77.4,499.75,587.24,1130.39,512.69,357.23,281.4,541.69,139.7,60.11,167.78,1897.17,4767.74,5684.8,936.26,587.24,217,7,26.02,33.96,38.4,0.3041,0.8881,-2
Cullman,01043,21317,12456,8861,4141,8200,1904,7788,3,124,1,16,4,554,512.0,0.5843,0.1943,20114,6944,0.0598,0.1809,74.0,0.5508,0.9698,0.0058,0.0076,13830.41,14454.93,107711256.0,0.188,300.7191,1441.4484,19372.93,0.184,630.3287,0.3268,0.6252,3188.3667,0.0526,72.9327,1584.1037,13213.68,0.0091,9.6302,,,0.1199,423.9856,3065.357,5248.84,0.0501,53.5439,5304.1859,0.926,17063.3025,0.3073,1923.8572,0.8672,0.7804,0.1,1624.679,0.151,365.9476,3641.75,1756.71,108.43,695.64,239.24,,629.48,822.42,1175.31,489.14,461.59,292.98,863.24,101.79,412.74,187.86,1790.05,5625.39,6285.68,934.88,822.42,140,4,17.07,62.44,58.6,0.1143,0.9242,71
St. Clair,01115,20948,13913,7035,3326,7635,1667,5498,3,140,0,0,4,374,319.6,0.6642,0.1588,19295,6231,0.0857,0.2253,73.0,0.5353,0.9172,0.0547,0.0065,13370.53,13995.59,73511187.0,0.1732,281.5569,1549.8363,22441.76,0.1936,602.9465,0.3114,0.5946,2739.5417,0.0295,40.0146,918.5158,13784.91,0.0155,18.7341,,,0.1111,358.3121,2525.6457,5198.48,0.0435,46.9262,3641.506,0.9163,15944.7072,0.2885,1768.4613,0.8456,0.7947,0.038,355.2201,0.1457,401.6006,3885.88,2109.74,177.75,406.18,406.26,,577.71,599.03,1140.13,593.2,459.84,357.63,606.1,199.2,83.43,178.57,1470.51,4695.35,7144.34,812.44,599.03,140,3,18.34,41.86,54.5,0.0,0.8545,56
Talladega,01121,20519,13592,6927,5096,6705,1507,5578,3,72,2,59,3,468,436.4,0.6624,0.2484,19829,5682,0.0348,0.18,72.0,0.5292,0.8053,0.17,0.0054,12762.11,13559.23,71187060.0,0.1655,257.0814,1454.2847,21138.6,0.1681,602.0079,0.3119,0.656,3579.2399,0.0398,50.1972,1136.0703,12203.07,0.0133,14.5213,0.0029,3.0477,0.1181,369.1287,2581.5705,4405.45,0.0595,67.5869,6228.3973,0.8867,14168.8777,0.268,1683.2198,0.839,0.7433,0.2447,759.5913,0.1364,427.3933,3497.83,2213.45,123.84,485.67,326.07,110.13,520.47,962.85,1001.83,476.65,434.55,236.93,546.88,145.7,96.73,191.59,1300.57,4137.96,6649.06,921.87,962.85,131,5,19.54,65.09,51.2,0.4504,0.9325,41
Elmore,01051,20171,12028,8143,3112,7130,1555,6551,3,48,0,0,4,421,379.6,0.5963,0.1543,17511,5654,0.1519,0.2611,72.0,0.5341,0.8678,0.0927,0.0114,10923.27,11467.15,71558357.0,0.1429,218.4399,1171.4242,19548.41,0.1901,549.2291,0.2903,0.7526,4266.9821,0.0253,31.2929,704.6252,11964.55,0.0124,13.891,,,0.0835,258.2812,1790.8716,4896.5,0.035,36.3303,3646.4662,0.9153,13234.1627,0.2517,1564.3413,0.8489,0.7703,0.0685,228.5147,0.1207,254.7703,2793.06,2615.09,164.85,303.18,282.85,,408.85,585.52,944.86,539.83,381.15,213.43,448.1,154.22,44.07,125.15,767.53,3207.99,6392.2,586.03,585.52,48,3,6.73,53.24,148.5,0.0,0.9017,135
Walker,01127,17156,11469,5687,3929,6137,1434,4946,4,118,2,30,5,526,473.0,0.6685,0.229,17537,5564,-0.0217,0.103,72.0,0.5299,0.9424,0.0408,0.0051,13716.42,14279.36,67841428.0,0.1799,285.8876,1487.869,22696.95,0.1795,600.6874,0.3031,0.6227,2384.7554,0.0364,50.7481,1132.0259,12653.22,0.0133,14.7594,,,0.1231,460.7764,3060.6551,5134.88,0.0574,64.4966,7057.218,0.9064,15317.0239,0.2796,1530.3275,0.8712,0.7865,0.2046,1562.2725,0.1531,372.4222,4084.17,1769.96,61.37,460.49,344.03,,632.26,1104.79,1123.84,559.15,505.65,361.6,604.0,141.84,240.59,240.51,1322.1,4790.04,6857.0,804.52,1104.79,148,6,24.12,77.07,41.5,0.2027,0.8992,10
